time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2022-05-08 16:05:09.185 UTC, , , , , , , , , ,125,3159893,14040, , ,3, ,9, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,389479829504,57,57,57,57, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1652025908874,,, , , , , , , , , ,3145728,1377,23,23,17,23, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , , , ,4,24,40452832,4, , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-05-08 16:15:10.717 UTC, , , , , , , , , ,125,3158877,13024, , ,3, ,21,3,0.14, , , , , , , ,3,3, ,2, ,2,1,5, ,18,10, , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,389459156992,57,57,57,57, , , , , ,1,23, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1652026510470,,, , , , , , , , , ,3145728,1377, , , , , , ,17, , ,2, , ,3, , ,17, ,2048,1, , , , , ,98828,28, , , , , , , , ,4,30,42535968,4, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-05-08 16:16:10.724 UTC, , , , , , , , , ,125,3281029,123976,11200, ,3, ,300, , , , , , , , , ,3,3, , , ,1,1,3, , , , , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,389481148416,97,97,97,97, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1652026510470,,, , , , , , , , , ,3145728,20082, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,25,68,83304264,3, , , , , , ,300, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-05-08 16:17:10.730 UTC, , , , , , , , , ,125,3281029,123976,11200, ,3, , , , , , , , , , , ,3,3, , , ,1,1,3, , , , , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,389483163648,97,97,97,97, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1652026510470,,, , , , , , , , , ,3145728,20082, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,13,39,138578488,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-05-08 16:18:10.737 UTC, , , , , , , , , ,125,3281029,123976,11200, ,3, , , , , , , , , , , ,3,3, , , ,1,1,3, , , , , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,389475745792,97,97,97,97, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1652026510470,,, , , , , , , , , ,3145728,20082, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,11,44,158541432,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-05-08 16:19:10.745 UTC, , , , , , , , , ,125,3281029,123976,11200, ,3, , , , , , , , , , , ,3,3, , , ,1,1,3, , , , , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,389473849344,97,97,97,97, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1652026510470,,, , , , , , , , , ,3145728,20082, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,6,28,160929664,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-05-08 16:20:10.749 UTC, , , , , , , , , ,125,3281029,123976,11200, ,3, , , , , , , , , , , ,3,3, , , ,1,1,3, , , , , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,389459001344,97,97,97,97, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1652026510470,,, , , , , , , , , ,3145728,20082, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,3,14,201513312,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-05-08 16:21:10.756 UTC, , , , , , , , , ,125,3281029,123976,11200, ,3, , , , , , , , , , , ,3,3, , , ,1,1,3, , , , , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,389455572992,97,97,97,97, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1652026510470,,, , , , , , , , , ,3145728,20082, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,4,30,185094968,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-05-08 16:22:10.761 UTC, , , , , , , , , ,125,3281029,123976,11200, ,3, , , , , , , , , , , ,3,3, , , ,1,1,3, , , , , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,389459574784,97,97,97,97, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1652026510470,,, , , , , , , , , ,3145728,20082, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,6,28,237132888,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-05-08 16:23:10.763 UTC, , , , , , , , , ,125,3281029,123976,11200, ,3, , , , , , , , , , , ,3,3, , , ,1,1,3, , , , , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,389459775488,97,97,97,97, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1652026510470,,, , , , , , , , , ,3145728,20082, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,6,26,231209096,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-05-08 16:24:10.766 UTC, , , , , , , , , ,125,3281029,123976,11200, ,3, , , , , , , , , , , ,3,3, , , ,1,1,3, , , , , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,389462487040,97,97,97,97, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1652026510470,,, , , , , , , , , ,3145728,20082, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,5,35,232224648,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-05-08 16:25:10.771 UTC, , , , , , , , , ,125,3281029,123976,11200, ,3, , , , , , , , , , , ,3,3, , , ,1,1,3, , , , , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,389465165824,97,97,97,97, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1652026510470,,, , , , , , , , , ,3145728,20082, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,3,19,208359968,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
